Version,,URL
Package manager instructions,,https://dotnet.microsoft.com/en-us/download/dotnet/8.0
Arm64 | x64,,https://dotnet.microsoft.com/en-us/download/dotnet/8.0
x64 | x86 | Arm64 | winget instructions,,https://dotnet.microsoft.com/en-us/download/dotnet/8.0
dotnet-install scripts,,https://dotnet.microsoft.com/en-us/download/dotnet/8.0
