Version,URL
Windows Server 2025,https://learn.microsoft.com/en-us/windows-server/get-started/windows-server-release-info
Windows Server 2022,https://learn.microsoft.com/en-us/windows-server/get-started/windows-server-release-info
Windows Server 2019 (version 1809),https://learn.microsoft.com/en-us/windows-server/get-started/windows-server-release-info
Windows Server 2016 (version 1607),https://learn.microsoft.com/en-us/windows-server/get-started/windows-server-release-info
